Date,LabID,Duplicate,FieldID,Sex,Haplotype,Lat,Lon,InMgmtArea
6/1/1997,7605,,MAC970601.01,F,16,25.566666,-136.033333,TRUE
3/29/2004,41854,,LL1*49,M,9,13.85,-161.083333,TRUE
9/12/2004,41855,,LL1*03,M,9,18.3,-157.95,TRUE
8/18/2005,49057,,MAC050818.01,F,9,6.35,-163.883333,FALSE
8/18/2005,49058,,MAC050818.02,F,7,6.35,-163.883333,FALSE
8/18/2005,49059,,MAC050818.03,F,9,6.35,-163.883333,FALSE
8/18/2005,49060,49061,MAC050818.04,M,9,6.35,-163.883333,FALSE
8/18/2005,49061,49060,MAC050818.05,M,9,6.35,-163.883333,FALSE
8/18/2005,49062,,MAC050818.06,F,9,6.35,-163.883333,FALSE
9/24/2005,49097,,LL1*46,F,6,21.266666,-153.833333,TRUE
9/17/2005,49098,,LL1*48,M,9,22.45,-151.183333,TRUE
2/19/2006,53477,,LL2*33,M,9,20.25,-166.1,TRUE
4/21/2008,73895,,RWB2008APR21.01,F,25,19.333333,-157.066666,TRUE
4/21/2008,73896,,RWB2008APR21.02,F,25,19.333333,-157.066666,TRUE
4/21/2008,73897,,RWB2008APR21.04,M,9,19.266666,-157.15,TRUE
4/22/2009,79904,,LL3*95,F,9,15.716666,-159.933333,TRUE
7/3/2010,94783,,LL3*37,U,9,17.116666,-157.8,TRUE
7/11/2010,94784,,LL3*08,M,9,22.033333,-152.816666,TRUE
9/1/2010,102207,,MAC100901.01,F,9,28.866666,-176.95,TRUE
9/1/2010,102208,102209,MAC100901.02,F,9,28.866666,-176.95,TRUE
9/1/2010,102209,102208,MAC100901.03,F,9,28.866666,-176.95,TRUE
9/1/2010,102210,,MAC100901.04,M,9,28.866666,-176.95,TRUE
9/10/2010,102211,,MAC100910.01,F,30,29.7,-173.2,TRUE
9/10/2010,102212,102214,MAC100910.02,F,30,29.7,-173.2,TRUE
9/10/2010,102213,,MAC100910.03,F,30,29.7,-173.2,TRUE
9/10/2010,102214,102212,MAC100910.04,F,30,29.7,-173.2,TRUE
9/10/2010,102215,,MAC100910.05,M,30,29.7,-173.2,TRUE
9/28/2010,102216,,MAC100928.01,F,26,17.866666,-155,TRUE
5/16/2012,108157,,OES120516.01,F,6,19.25,-157.2,TRUE
5/16/2012,108158,,OES120516.02,M,33,19.25,-157.2,TRUE
5/15/2013,114945,,OES130515.01s,F,9,25.680385,-171.558318,TRUE
5/15/2013,114946,,OES130515.02s,F,9,25.680748,-171.557879,TRUE
5/15/2013,114947,,OES130515.03s,M,9,25.678543,-171.562787,TRUE
5/15/2013,114948,,OES130515.04s,F,9,25.64124,-171.626146,TRUE
5/26/2013,114957,,OES130526.01s,F,9,24.789966,-170.194116,TRUE
10/22/2013,117293,,RWB2013OCT22.01,F,26,19.3753,-156.08868,TRUE
10/22/2013,117294,,RWB2013OCT22.02,F,26,19.36934,-156.08641,TRUE
10/22/2013,117295,,RWB2013OCT22.03,F,26,19.34693,-156.07666,TRUE
10/22/2013,117296,,RWB2013OCT22.04,F,26,19.29404,-156.06493,TRUE
10/22/2013,117297,,RWB2013OCT22.05,F,26,19.22822,-156.05669,TRUE
10/22/2013,117298,,RWB2013OCT22.06,F,26,19.18978,-156.0578,TRUE
11/10/2010,123189,,MAC101110.01,M,32,26.8,-178.866666,TRUE
11/10/2010,123190,123191,MAC101110.02,F,32,26.8,-178.866666,TRUE
11/10/2010,123191,123190,MAC101110.03,F,32,26.8,-178.866666,TRUE
11/10/2010,123192,,MAC101110.04,F,32,26.8,-178.866666,TRUE
6/21/2014,143687,,LL4*70,U,30,27.618333,-166.183333,TRUE
5/3/2016,185086,,LL5*49,U,U,20.66667,-137.5,TRUE
2/7/2017,185087,,LL5*76,U,30,23.94333,-154.555,TRUE
7/23/2017,186412,,OES170723.01s,F,9,25.24035,-172.83323,TRUE
7/23/2017,186413,,OES170723.02s,M,37,25.25733,-172.82915,TRUE
7/23/2017,186414,,OES170723.03s,M,37,25.25733,-172.82915,TRUE
9/12/2017,186415,,OES170912.01s,F,9,21.88103,-159.77035,TRUE
9/12/2017,186416,,OES170912.02s,M,9,21.88864,-159.76949,TRUE
9/12/2017,186417,,OES170912.03s,F,38,21.89489,-159.77544,TRUE
9/12/2017,186418,,OES170912.04s,M,38,21.89407,-159.77754,TRUE
9/12/2017,186419,,OES170912.05s,F,38,21.89275,-159.77987,TRUE
9/12/2017,186420,,OES170912.06s,F,38,21.89106,-159.82146,TRUE
9/13/2017,186421,,OES170913.01s,M,38,22.16543,-160.42052,TRUE
9/13/2017,186422,,OES170913.02s,M,9,22.23608,-160.38814,TRUE
9/13/2017,186423,,OES170913.03s,F,39,22.23112,-160.37638,TRUE
9/13/2017,186424,,OES170913.04s,F,39,22.22917,-160.37604,TRUE
9/13/2017,186425,,OES170913.05s,M,38,22.22907,-160.37568,TRUE
9/13/2017,186426,,OES170913.14s,F,40,22.24885,-160.33194,TRUE
9/13/2017,186427,,OES170913.15s,F,9,22.25067,-160.33112,TRUE
9/13/2017,186428,,OES170913.16s,F,38,22.27045,-160.31017,TRUE
9/13/2017,186429,,OES170913.17s,F,9,22.27192,-160.29261,TRUE
9/13/2017,186430,,OES170913.18s,F,9,22.27626,-160.27172,TRUE
9/29/2017,186436,,LSK170929.01s,F,38,23.39922,-176.03787,TRUE
9/29/2017,186437,,LSK170929.02s,F,38,23.39908,-176.03809,TRUE
9/29/2017,186438,,LSK170929.03s,F,38,23.39919,-176.03793,TRUE
9/29/2017,186439,,LSK170929.05s,F,38,23.38909,-176.02482,TRUE
9/29/2017,186440,,LSK170929.06s,F,38,23.38858,-176.02522,TRUE
9/29/2017,186441,,LSK170929.07s,F,38,23.38858,-176.02522,TRUE
9/29/2017,186442,,LSK170929.08s,M,38,23.38774,-176.03029,TRUE
9/29/2017,186443,,LSK170929.09s,F,38,23.38644,-176.02892,TRUE
9/29/2017,186444,,LSK170929.10s,F,38,23.38644,-176.02892,TRUE
9/29/2017,186445,,LSK170929.11s,M,38,23.37417,-176.05399,TRUE
9/29/2017,186446,,LSK170929.12s,F,38,23.37419,-176.05407,TRUE
10/31/2019,202045,,RWB2019OCT31.01,F,6,19.53219,-156.53514,TRUE
10/31/2019,202046,,RWB2019OCT31.02,M,New,19.50622,-156.6264,TRUE
10/31/2019,202047,,RWB2019OCT31.03,M,25,19.50622,-156.6264,TRUE
10/31/2019,202048,,RWB2019OCT31.04,F,New,19.51314,-156.68548,TRUE
4/17/2021,205939,,LL7*25,F,25,19.253333,-158.15,TRUE
5/14/2020,207787,,RWB2020MAY14.01,F,26,20.04009,-156.05224,TRUE
